,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
89,1024,483.0,70147,5.810089500000004,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.4,2048
90,2048,483.0,70147,5.810089500000004,"[4, 4, 0, 4, 4, 4, 4, 4, 0, 1, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.4,2048
91,0,298.0,300,0.008707200000117155,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",300,0.5,2048
92,1,375.0,602,0.045478600000024016,"[4, 0, 4, 4, 3, 4, 0, 2, 2, 3, 4, 4, 4, 0, 3, 4, 3, 4, 1, 4]",300,0.5,2048
93,2,391.0,904,0.08259250000014617,"[4, 4, 2, 3, 4, 3, 2, 3, 3, 0, 0, 2, 4, 4, 3, 4, 0, 4, 3, 4]",300,0.5,2048
94,4,430.0,1508,0.14565809999999146,"[4, 4, 1, 3, 4, 3, 4, 4, 0, 3, 4, 4, 0, 4, 4, 3, 4, 4, 4, 4]",300,0.5,2048
95,8,439.0,2713,0.2560324999999466,"[4, 4, 3, 2, 4, 4, 4, 4, 0, 1, 4, 3, 4, 3, 4, 3, 4, 2, 0, 4]",300,0.5,2048
96,16,464.0,5125,0.49419620000003306,"[3, 4, 1, 3, 4, 4, 4, 3, 0, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.5,2048
97,32,482.0,9947,0.9009522999999717,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 2, 4, 4, 4, 4, 4, 4, 4, 3, 4]",300,0.5,2048
98,64,483.0,19580,2.8571584999999686,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.5,2048
99,128,483.0,38844,4.50848289999999,"[4, 4, 1, 4, 4, 4, 4, 4, 0, 0, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",300,0.5,2048
