,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
51,2048,474.0,42416,37.183854999999994,"[4.0, 4.0, 1.0, 4.0, 3.0, 4.0, 4.0, 4.0, 0.0, 3.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.25,2048
52,0,298.0,200,0.005099200000131532,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",False,200,0.5,2048
53,1,365.0,402,0.16697190000013507,"[0.0, 3.0, 4.0, 2.0, 2.0, 4.0, 1.0, 1.0, 2.0, 1.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 3.0, 4.0, 0.0, 4.0]",False,200,0.5,2048
54,2,392.0,604,0.3562811000001602,"[4.0, 4.0, 4.0, 4.0, 3.0, 1.0, 2.0, 4.0, 1.0, 3.0, 0.0, 4.0, 4.0, 1.0, 3.0, 4.0, 4.0, 4.0, 2.0, 2.0]",False,200,0.5,2048
55,4,458.0,1008,0.7139708000001974,"[4.0, 4.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 0.0, 1.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 3.0, 0.0, 4.0]",False,200,0.5,2048
56,8,460.0,1813,1.3935937000001104,"[3.0, 4.0, 1.0, 4.0, 4.0, 4.0, 4.0, 3.0, 0.0, 1.0, 4.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 1.0, 4.0]",False,200,0.5,2048
57,16,478.0,3426,2.869613400000162,"[4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 3.0, 4.0, 4.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.5,2048
58,32,482.0,6644,5.519988700000113,"[4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.5,2048
59,64,482.0,13076,10.813688100000036,"[4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.5,2048
60,128,482.0,25940,21.927204800000027,"[4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.5,2048
61,256,482.0,44633,37.43602520000013,"[4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.5,2048
62,512,482.0,44633,37.43602520000013,"[4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.5,2048
63,1024,482.0,44633,37.43602520000013,"[4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.5,2048
64,2048,482.0,44633,37.43602520000013,"[4.0, 4.0, 0.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0, 2.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]",False,200,0.5,2048
65,0,298.0,200,0.005704299999933937,"[4, 1, 3, 3, 4, 1, 0, 1, 2, 2, 0, 4, 0, 4, 0, 3, 2, 3, 4, 4]",False,200,0.75,2048
66,1,386.0,402,0.16869259999998576,"[4.0, 2.0, 4.0, 4.0, 4.0, 1.0, 2.0, 4.0, 2.0, 4.0, 4.0, 3.0, 4.0, 1.0, 3.0, 4.0, 4.0, 0.0, 0.0, 4.0]",False,200,0.75,2048
67,2,388.0,604,0.35393920000001344,"[3.0, 4.0, 1.0, 4.0, 4.0, 3.0, 4.0, 1.0, 1.0, 4.0, 3.0, 1.0, 4.0, 3.0, 4.0, 2.0, 4.0, 3.0, 3.0, 3.0]",False,200,0.75,2048
68,4,399.0,1008,0.7121201999998448,"[3.0, 3.0, 0.0, 4.0, 4.0, 1.0, 4.0, 4.0, 3.0, 2.0, 0.0, 4.0, 4.0, 4.0, 4.0, 2.0, 2.0, 3.0, 4.0, 4.0]",False,200,0.75,2048
69,8,412.0,1814,1.373587999999927,"[4.0, 3.0, 3.0, 4.0, 2.0, 4.0, 3.0, 4.0, 2.0, 1.0, 0.0, 3.0, 4.0, 4.0, 3.0, 2.0, 3.0, 3.0, 4.0, 4.0]",False,200,0.75,2048
