,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
93,2,264.0,1892,2.0252452000000005,"[1, 2, 2, 1, 0, 4, 4, 3, 4, 1, 2, 4, 2, 2, 1, 2, 2, 3, 2, 0]",25,2048,7
94,4,304.0,1896,2.0463273000000015,"[1, 2, 3, 1, 4, 4, 4, 3, 4, 1, 2, 4, 2, 2, 1, 2, 2, 3, 2, 0]",25,2048,7
95,8,322.0,1901,2.0692379999999986,"[1, 2, 3, 4, 4, 4, 4, 3, 4, 1, 2, 4, 2, 2, 1, 2, 2, 3, 2, 0]",25,2048,7
96,16,333.0,1911,2.0971949999999993,"[1, 2, 3, 4, 4, 4, 4, 3, 4, 1, 3, 4, 2, 2, 1, 2, 2, 3, 4, 0]",25,2048,7
97,32,342.0,1928,2.133523799999999,"[1, 2, 3, 4, 4, 4, 4, 3, 4, 1, 3, 4, 2, 2, 1, 2, 2, 3, 4, 1]",25,2048,7
98,64,369.0,1961,2.1923060999999997,"[1, 2, 3, 4, 4, 4, 4, 3, 4, 1, 3, 4, 2, 2, 1, 2, 2, 3, 4, 4]",25,2048,7
99,128,369.0,2025,2.2775451999999987,"[1, 2, 3, 4, 4, 4, 4, 3, 4, 1, 3, 4, 2, 2, 1, 2, 2, 3, 4, 4]",25,2048,7
100,256,369.0,2132,2.4189532000000007,"[1, 2, 3, 4, 4, 4, 4, 3, 4, 1, 3, 4, 2, 2, 1, 2, 2, 3, 4, 4]",25,2048,7
101,512,369.0,2132,2.4189532000000007,"[1, 2, 3, 4, 4, 4, 4, 3, 4, 1, 3, 4, 2, 2, 1, 2, 2, 3, 4, 4]",25,2048,7
102,1024,369.0,2132,2.4189532000000007,"[1, 2, 3, 4, 4, 4, 4, 3, 4, 1, 3, 4, 2, 2, 1, 2, 2, 3, 4, 4]",25,2048,7
103,2048,369.0,2132,2.4189532000000007,"[1, 2, 3, 4, 4, 4, 4, 3, 4, 1, 3, 4, 2, 2, 1, 2, 2, 3, 4, 4]",25,2048,7
104,0,255.0,2132,2.439146000000001,"[3, 2, 1, 4, 1, 0, 3, 3, 3, 4, 0, 3, 4, 1, 4, 0, 3, 0, 1, 1]",25,2048,8
105,1,255.0,2133,2.4573794000000007,"[3, 2, 1, 4, 1, 0, 3, 3, 3, 4, 0, 3, 4, 1, 4, 0, 3, 0, 1, 1]",25,2048,8
106,2,267.0,2135,2.4759382999999993,"[3, 2, 4, 4, 1, 0, 3, 3, 3, 4, 0, 3, 4, 1, 4, 0, 3, 0, 1, 1]",25,2048,8
107,4,294.0,2138,2.497855600000001,"[3, 2, 4, 4, 1, 3, 3, 3, 3, 4, 0, 3, 4, 1, 4, 0, 3, 0, 1, 1]",25,2048,8
108,8,294.0,2142,2.527246299999998,"[3, 2, 4, 4, 1, 3, 3, 3, 3, 4, 0, 3, 4, 1, 4, 0, 3, 0, 1, 1]",25,2048,8
109,16,337.0,2153,2.561369599999999,"[3, 2, 4, 4, 4, 3, 3, 3, 3, 4, 0, 4, 4, 2, 4, 0, 3, 0, 1, 1]",25,2048,8
110,32,402.0,2173,2.6053457999999985,"[3, 2, 4, 4, 4, 3, 3, 3, 3, 4, 0, 4, 4, 4, 4, 2, 3, 0, 2, 4]",25,2048,8
